Voltage (V),Current (A),B Field Measure (mT),Data File
0,0,6.93,Z0
0,0,6.93,ZB0
0.1,0,7,Z1
0.1,0,7,ZBB1
0.2,0,7.06,Z2
0.2,0,7.06,ZB2
0.3,0.001,7.13,ZB3
0.4,0.002,7.21,Z4
0.4,0.002,7.21,ZB4
0.5,0.003,7.29,Z5
0.5,0.003,7.29,ZB5
0.6,0.004,7.37,Z6
0.6,0.004,7.37,ZB6
0.7,0.006,7.44,Z7
0.7,0.006,7.44,ZB7
0.8,0.007,7.42,Z8
0.8,0.007,7.42,ZB8
0.9,0.008,7.49,Z9
0.9,0.008,7.49,ZB9
1,0.009,7.57,Z10
1,0.009,7.57,ZB10
1.5,0.015,7.95,Z11
1.5,0.015,7.95,ZB11
2,0.02,8.33,Z12
2,0.02,8.33,ZB12
2.5,0.025,8.72,Z13
2.5,0.025,8.72,ZB13
3,0.032,9.1,Z14
3,0.032,9.1,ZB14
3.5,0.037,9.49,Z15
3.5,0.037,9.49,ZB15
4,0.042,9.87,Z16
4,0.042,9.87,ZB16
4.5,0.048,10.26,Z17
4.5,0.048,10.26,ZB17
5,0.054,10.65,Z18
5,0.054,10.65,ZB18
5.5,0.059,11.02,Z19
5.5,0.059,11.02,ZB19
6,0.066,11.52,Z20
6,0.066,11.52,ZB20
6.5,0.071,11.82,Z21
6.5,0.071,11.82,ZB21
7,0.076,12.2,Z22
7,0.076,12.2,ZB22
7.5,0.083,12.6,Z23
7.5,0.083,12.6,ZB23
8,0.088,12.98,Z24
8,0.088,12.98,ZB24
8.5,0.094,13.36,Z25
8.5,0.094,13.36,ZB25
9,0.0099,13.75,ZR26
9,0.0099,13.75,ZB26
9.5,0.104,14.15,Z27
9.5,0.104,14.15,ZB27
10,0.11,14.53,Z28
10,0.11,14.53,ZB28
10.5,0.116,14.93,Z29
10.5,0.116,14.93,ZB29
11,0.121,15.3,Z30
11,0.121,15.3,ZB30
11.5,0.127,15.7,Z31
11.5,0.127,15.7,ZB31
12,0.133,16.1,Z32
12,0.133,16.1,ZB32
12.5,0.138,16.48,Z33
12.5,0.138,16.48,ZB33
13,0.144,16.88,Z34
13,0.144,16.88,ZB34
13.5,0.149,17.26,Z35
13.5,0.149,17.26,ZB35
14,0.155,17.66,Z36
14,0.155,17.66,ZB36
14.5,0.161,18.04,Z37
14.5,0.161,18.04,ZB37
15,0.167,18.43,Z38
15,0.167,18.43,ZB38
15.5,0.172,18.81,Z39
15.5,0.172,18.81,ZB39
16,0.178,19.16,Z40
16,0.178,19.16,ZB40
16.5,0.183,19.52,Z41
16.5,0.183,19.52,ZB41
17,0.189,19.92,Z42
17,0.189,19.92,ZB42
17.5,0.195,20.3,Z43
17.5,0.195,20.3,ZB43
18,0.2,20.69,Z44
18,0.2,20.69,ZB44
18.5,0.205,21.08,Z45
18.5,0.205,21.08,ZB45
19,0.21,21.45,Z46
19,0.21,21.45,ZB46
19.5,0.216,21.84,Z47
19.5,0.216,21.84,ZB47
20,0.221,22.22,Z48
20,0.221,22.22,ZB48
20.5,0.227,22.61,Z49
20.5,0.227,22.61,ZB49
21,0.232,22.99,Z50
21,0.232,22.99,ZB50
21.5,0.237,23.36,Z51
21.5,0.237,23.36,ZB51
22,0.243,23.72,Z52
22,0.243,23.72,ZB52
22.5,0.249,24.1,Z53
22.5,0.249,24.1,ZB53
23,0.254,24.49,Z54
23,0.254,24.49,ZB54
23.5,0.26,24.87,Z55
23.5,0.26,24.87,ZB55
24,0.265,25.25,Z56
24,0.265,25.25,ZB56
24.5,0.271,25.62,Z57
24.5,0.271,25.62,ZB57
25,0.276,25.99,Z58
25,0.276,25.99,ZB58
25.5,0.281,26.37,Z59
25.5,0.281,26.37,ZB59
26,0.287,26.73,Z60
26,0.287,26.73,ZBR60
26.5,0.292,27.1,Z61
26.5,0.292,27.1,ZB61
27,0.297,27.48,Z62
27,0.297,27.48,ZB62
27.5,0.303,27.84,Z63
27.5,0.303,27.84,ZB63
28,0.308,28.22,Z64
28,0.308,28.22,ZB64
28.5,0.313,28.59,Z65
28.5,0.313,28.59,ZB65
29,0.318,28.95,Z66
29,0.318,28.95,ZB66
29.5,0.323,29.33,Z67
29.5,0.323,29.33,ZB67
30,0.329,29.72,Z68
30,0.329,29.72,ZB68
30.5,0.334,29.95,Z69
30.5,0.334,29.95,ZB69
31,0.338,,Z70
31,0.338,,ZB70
