angle,wav / pm,E / keV,R_0 / 1/s,R_1 / 1/s,T_1 / %
2.5,24.6,50.4,9.4,11.4,121.3
2.6,25.6,48.5,9.3,9.2,98.9
2.7,26.6,46.7,9.8,8.5,86.7
2.8,27.6,45,10.5,10.8,102.9
2.9,28.5,43.5,11.1,11.5,103.6
3,29.5,42,10.1,9.8,97
3.1,30.5,40.6,11.4,10.9,95.6
3.2,31.5,39.4,12.1,12.3,101.7
3.3,32.5,38.2,22.5,18.2,80.9
3.4,33.4,37.1,39.5,45.5,115.2
3.5,34.4,36,88.1,87.3,99.1
3.6,35.4,35,157.5,160.8,102.1
3.7,36.4,34.1,222.8,231.5,103.9
3.8,37.4,33.2,280.4,284.3,101.4
3.9,38.4,32.3,324.5,316,97.4
4,39.3,31.5,350.4,352.2,100.5
4.1,40.3,30.7,381.2,381.7,100.1
4.2,41.3,30,389.3,384.2,98.7
4.3,42.3,29.3,408.5,412.9,101.1
4.4,43.3,28.7,405.6,400.2,98.7
4.5,44.3,28,410.5,402.8,98.1
4.6,45.2,27.4,422.2,420.5,99.6
4.7,46.2,26.8,417.8,421.8,101
4.8,47.2,26.3,418.5,411.6,98.4
4.9,48.2,25.7,421.5,418.7,99.3
5,49.2,25.2,411.6,404.7,98.3
5.1,50.1,24.7,408.8,412,100.8
5.2,51.1,24.3,404.2,383.1,94.8
5.3,52.1,23.8,390.3,383.5,98.3
5.4,53.1,23.4,383.6,374.8,97.7
5.5,54.1,22.9,368.3,364,98.8
5.6,55,22.5,353.7,343.2,97
5.7,56,22.1,347.4,328.4,94.5
5.8,57,21.8,327.4,321.4,98.2
5.9,58,21.4,320.5,305.5,95.3
6,59,21,342.5,335.9,98.1
6.1,59.9,20.7,450.6,456.4,101.3
6.2,60.9,20.4,620.2,603.3,97.3
6.3,61.9,20,626.4,620.9,99.1
6.4,62.9,19.7,442.1,430.3,97.3
6.5,63.8,19.4,388.1,369.3,95.2
6.6,64.8,19.1,295.2,282.7,95.8
6.7,65.8,18.8,267.8,255,95.2
6.8,66.8,18.6,312.8,317.1,101.4
6.9,67.8,18.3,720.8,749.1,103.9
7,68.7,18,1206.4,1207.2,100.1
7.1,69.7,17.8,1305.1,1260.4,96.6
7.2,70.7,17.5,681.8,615.9,90.3
7.3,71.7,17.3,472.7,431.4,91.3
7.4,72.6,17.1,287.6,262.9,91.4
7.5,73.6,16.8,202.4,201,99.3
7.6,74.6,16.6,206.4,192,93
7.7,75.6,16.4,194.8,194.3,99.7
7.8,76.5,16.2,192.9,183.2,95
7.9,77.5,16,191.1,184.2,96.4
8,78.5,15.8,187.3,178.6,95.4
8.1,79.5,15.6,178.1,167,93.8
8.2,80.4,15.4,171.4,164.3,95.9
8.3,81.4,15.2,163,154.1,94.5
8.4,82.4,15,160.6,154.1,96
8.5,83.4,14.9,149.9,147.4,98.3
8.6,84.3,14.7,147,153.8,104.6
8.7,85.3,14.5,142,140.6,99
8.8,86.3,14.4,139.9,134.2,95.9
8.9,87.3,14.2,135.6,136.6,100.7
9,88.2,14.1,130.9,131.6,100.5
9.1,89.2,13.9,124,126.2,101.8
9.2,90.2,13.7,117.7,113.8,96.7
9.3,91.1,13.6,118.5,110.7,93.4
9.4,92.1,13.5,115.7,110.3,95.3
9.5,93.1,13.3,105.2,100.3,95.3
9.6,94.1,13.2,100.2,104.8,104.6
9.7,95,26.1,96,99.6,103.8
9.8,96,25.8,93.5,98.2,105
9.9,97,25.6,87.4,88.4,101.1
10,97.9,25.3,93.2,89.9,96.5
10.1,98.9,25.1,87.8,89.6,102.1
10.2,99.9,24.8,81.7,78.1,95.6
10.3,100.8,24.6,83.4,78.7,94.4
10.4,101.8,24.4,79.8,81.2,101.8
10.5,102.8,24.1,84.9,82.7,97.4
10.6,103.7,23.9,81.8,77.2,94.4
10.7,104.7,23.7,78,69.4,89
10.8,105.7,23.5,78.1,75.7,96.9
10.9,106.6,23.3,73.1,71.9,98.4
11,107.6,23,71.2,72.8,102.2
11.1,108.6,22.8,73.6,70.9,96.3
11.2,109.5,22.6,69.5,72.7,104.6
11.3,110.5,22.4,72.1,66.4,92.1
11.4,111.5,22.2,65.8,63.6,96.7
11.5,112.4,22.1,67.9,65.2,96
11.6,113.4,21.9,63.1,62,98.3
11.7,114.4,21.7,63.2,67,106
11.8,115.3,21.5,64.7,63.4,98
11.9,116.3,21.3,63.1,60.8,96.4
12,117.3,21.1,68.6,62,90.4
12.1,118.2,21,61.7,59.1,95.8
12.2,119.2,20.8,59.1,64.4,109
12.3,120.1,20.6,65.3,59.7,91.4
12.4,121.1,20.5,70.1,64.5,92
12.5,122.1,20.3,78.8,82.7,104.9
12.6,123,20.2,104.2,106.9,102.6
12.7,124,20,148.6,144.4,97.2
12.8,125,19.8,135.7,144.8,106.7
12.9,125.9,19.7,87.3,82.8,94.8
13,126.9,19.5,70.3,64.1,91.2
13.1,127.8,19.4,68.5,61.1,89.2
13.2,128.8,19.3,56.5,60.5,107.1
13.3,129.7,19.1,60.4,59.6,98.7
13.4,130.7,19,59.2,48.3,81.6
13.5,131.7,18.8,57.1,56.5,98.9
13.6,132.6,18.7,57.9,54.1,93.4
13.7,133.6,18.6,52.2,56.1,107.5
13.8,134.5,18.4,53.1,55.6,104.7
13.9,135.5,18.3,52.7,53.1,100.8
14,136.4,18.2,56.6,53.2,94
14.1,137.4,18,60.5,65.4,108.1
14.2,138.4,17.9,148.5,162.3,109.3
14.3,139.3,17.8,313,330.4,105.6
14.4,140.3,17.7,398,398,100
14.5,141.2,17.6,246.4,220.7,89.6
14.6,142.2,17.4,97.7,95,97.2
14.7,143.1,17.3,75.9,77.7,102.4
14.8,144.1,17.2,59.7,57.6,96.5
14.9,145,17.1,53.5,49.8,93.1
15,146,17,54.6,48.1,88.1
15.1,146.9,16.9,46.6,50.3,107.9
15.2,147.9,16.8,48.2,46.6,96.7
15.3,148.8,16.7,47.9,46.6,97.3
15.4,149.8,16.6,45.4,47,103.5
15.5,150.7,16.5,42.9,45.2,105.4
15.6,151.7,16.3,47.2,44.5,94.3
15.7,152.6,16.2,45.2,47,104
15.8,153.6,16.1,45.1,43.3,96
15.9,154.5,16,44.2,41.6,94.1
16,155.5,16,46.9,42.2,90
16.1,156.4,15.9,42.2,42.3,100.2
16.2,157.4,15.8,41.3,37.5,90.8
16.3,158.3,15.7,43.9,39.9,90.9
16.4,159.2,15.6,39.2,36.9,94.1
16.5,160.2,15.5,40.4,34.6,85.6
16.6,161.1,15.4,39.1,37.6,96.2
16.7,162.1,15.3,38,40.8,107.4
16.8,163,15.2,34.6,40.4,116.8
16.9,164,15.1,39.5,36.5,92.4
17,164.9,15,37.2,35.7,96
17.1,165.8,15,36.4,36.2,99.5
17.2,166.8,14.9,35.1,36.9,105.1
17.3,167.7,22.2,34.8,33.6,96.6
17.4,168.7,22.1,32.6,34.8,106.7
17.5,169.6,21.9,35.5,32.1,90.4
17.6,170.5,21.8,36.5,34.3,94
17.7,171.5,21.7,34,36.4,107.1
17.8,172.4,21.6,31.4,32.8,104.5
17.9,173.3,21.5,31.8,30.7,96.5
18,174.3,21.3,32.2,28.1,87.3
18.1,175.2,21.2,31.3,32.1,102.6
18.2,176.2,21.1,29.3,30.5,104.1
18.3,177.1,21,32.6,30.5,93.6
18.4,178,20.9,27.4,27.3,99.6
18.5,179,20.8,31.2,29.4,94.2
18.6,179.9,20.7,28.2,28,99.3
18.7,180.8,20.6,30.2,28.8,95.4
18.8,181.8,20.5,27.4,27,98.5
18.9,182.7,20.4,29.6,29.1,98.3
19,183.6,20.3,29.9,31.1,104
19.1,184.6,20.2,34.3,33.2,96.8
19.2,185.5,20.1,31.9,32.9,103.1
19.3,186.4,20,41.7,40.2,96.4
19.4,187.3,19.9,50.6,51.4,101.6
19.5,188.3,19.8,49.4,51.6,104.5
19.6,189.2,19.7,30.1,32.6,108.3
19.7,190.1,19.6,28.1,27.3,97.2
19.8,191,19.5,26.5,26.6,100.4
19.9,192,19.4,23,23.7,103
20,192.9,19.3,23.1,26.4,114.3
20.1,193.8,19.2,19.6,27.9,142.3
20.2,194.7,19.1,26.2,22.5,85.9
20.3,195.7,19,23.7,22.3,94.1
20.4,196.6,18.9,23,23.8,103.5
20.5,197.5,18.8,19.7,20.9,106.1
20.6,198.4,18.7,23.1,22.6,97.8
20.7,199.4,18.7,20.2,22.2,109.9
20.8,200.3,18.6,23.2,22.6,97.4
20.9,201.2,18.5,20.5,20.9,102
21,202.1,18.4,22.3,18.6,83.4
21.1,203,18.3,20.8,23.6,113.5
21.2,204,18.2,20.9,22.6,108.1
21.3,204.9,18.2,19.6,22.5,114.8
21.4,205.8,18.1,20.7,21.7,104.8
21.5,206.7,18,19.6,20.2,103.1
21.6,207.6,17.9,22.6,22.9,101.3
21.7,208.5,17.8,34.8,29.4,84.5
21.8,209.5,17.8,65.2,63.9,98
21.9,210.4,17.7,100,103.6,103.6
22,211.3,17.6,111.2,108.6,97.7
22.1,212.2,17.5,66,67.4,102.1
22.2,213.1,17.5,44.4,42.7,96.2
22.3,214,17.4,29.4,27.1,92.2
22.4,214.9,17.3,23.2,22.4,96.6
22.5,215.8,17.2,19.7,18.6,94.4
22.6,216.7,17.2,18.7,18.1,96.8
22.7,217.7,17.1,18.9,19.7,104.2
22.8,218.6,17,18.5,20.8,112.4
22.9,219.5,16.9,15.7,17.8,113.4
23,220.4,16.9,18.1,15.7,86.7
23.1,221.3,16.8,15.4,17.7,114.9
23.2,222.2,16.7,14.6,17,116.4
23.3,223.1,16.7,15.5,17.2,111
23.4,224,16.6,17.5,14.5,82.9
23.5,224.9,16.5,17.3,13.4,77.5
23.6,225.8,16.5,14,15.6,111.4
23.7,226.7,16.4,14.7,13.9,94.6
23.8,227.6,16.3,15.6,13.3,85.3
23.9,228.5,16.3,15,17.2,114.7
24,229.4,16.2,14.8,12.9,87.2
24.1,230.3,16.2,13,14.5,111.5
24.2,231.2,16.1,12.5,15.5,124
24.3,232.1,16,13,13.5,103.8
24.4,233,16,12.2,14.8,121.3
24.5,233.9,15.9,14.1,14.7,104.3
24.6,234.8,15.8,13.8,14.7,106.5
24.7,235.7,15.8,12.6,13.6,107.9
24.8,236.6,15.7,13.4,12.7,94.8
24.9,237.5,20.9,13.3,14.9,112
25,238.4,20.8,11.8,14.4,122
25.1,239.2,20.7,13.2,11.8,89.4
25.2,240.1,20.7,13,13.5,103.8
25.3,241,20.6,11.4,10.5,92.1
25.4,241.9,20.5,13.7,13.6,99.3
25.5,242.8,20.4,12.1,12.6,104.1
25.6,243.7,20.4,11.7,11.5,98.3
25.7,244.6,20.3,13.8,13.2,95.7
25.8,245.5,20.2,11.7,12.3,105.1
25.9,246.4,20.1,13.6,13.7,100.7
26,247.2,20.1,12.9,12.8,99.2
26.1,248.1,20,13,12.7,97.7
26.2,249,19.9,11.1,15,135.1
26.3,249.9,19.8,18,17.2,95.6
26.4,250.8,19.8,18.6,17.7,95.2
26.5,251.7,19.7,16.7,17,101.8
26.6,252.5,19.6,13.4,11.5,85.8
26.7,253.4,19.6,12.9,10.1,78.3
26.8,254.3,19.5,11.5,8.8,76.5
26.9,255.2,19.4,11,13.2,120
27,256.1,19.4,12.3,11.4,92.7
27.1,256.9,19.3,12.4,9.8,79
27.2,257.8,19.2,10.8,11.7,108.3
27.3,258.7,19.2,9.7,12.4,127.8
27.4,259.6,19.1,10.9,12.4,113.8
27.5,260.4,19,9.7,10.7,110.3
27.6,261.3,19,12.7,9.6,75.6
27.7,262.2,18.9,10.1,9.7,96
27.8,263,18.9,8.9,9.9,111.2
27.9,263.9,18.8,9.4,8.8,93.6
28,264.8,18.7,9.8,9.3,94.9
