angle,R_0 / 1/s,n&l / pm,E / keV
2,20.5,19.7,63
2.1,16.3,20.7,60
2.2,13.6,21.7,57.3
2.3,9,22.6,54.8
2.4,9.5,23.6,52.5
2.5,7.4,24.6,50.4
2.6,9.3,25.6,48.5
2.7,7.1,26.6,46.7
2.8,7.1,27.6,45
2.9,8.3,28.5,43.5
3,9.1,29.5,42
3.1,10.8,30.5,40.6
3.2,15.1,31.5,39.4
3.3,21.1,32.5,38.2
3.4,34.9,33.4,37.1
3.5,69.1,34.4,36
3.6,129.6,35.4,35
3.7,210.2,36.4,34.1
3.8,264.7,37.4,33.2
3.9,317.6,38.4,32.3
4,353.7,39.3,31.5
4.1,389.3,40.3,30.7
4.2,378.7,41.3,30
4.3,389.2,42.3,29.3
4.4,391.6,43.3,28.7
4.5,364.8,44.3,28
4.6,370.7,45.2,27.4
4.7,348,46.2,26.8
4.8,340.8,47.2,26.3
4.9,339.4,48.2,25.7
5,307.4,49.2,25.2
5.1,307,50.1,24.7
5.2,292.5,51.1,24.3
5.3,286.7,52.1,23.8
5.4,266.8,53.1,23.4
5.5,257.1,54.1,22.9
5.6,249.6,55,22.5
5.7,240.6,56,22.1
5.8,231.5,57,21.8
5.9,219.6,58,21.4
6,207.4,59,21
6.1,226.1,59.9,20.7
6.2,352.4,60.9,20.4
6.3,462.2,61.9,20
6.4,396.3,62.9,19.7
6.5,238.4,63.8,19.4
6.6,176.3,64.8,19.1
6.7,170.6,65.8,18.8
6.8,158.4,66.8,18.6
6.9,187.6,67.8,18.3
7,568.1,68.7,18
7.1,887.9,69.7,17.8
7.2,803.8,70.7,17.5
7.3,372.8,71.7,17.3
7.4,155.2,72.6,17.1
7.5,150.1,73.6,16.8
7.6,150.2,74.6,16.6
7.7,140.1,75.6,16.4
7.8,145.9,76.5,16.2
7.9,141.7,77.5,16
8,139.5,78.5,15.8
8.1,132.8,79.5,15.6
8.2,144.1,80.4,15.4
8.3,127.5,81.4,15.2
8.4,133.9,82.4,15
8.5,123.8,83.4,14.9
8.6,125.1,84.3,14.7
8.7,122.8,85.3,14.5
8.8,117.6,86.3,14.4
8.9,106.7,87.3,14.2
9,107.5,88.2,14.1
9.1,104.8,89.2,13.9
9.2,97.3,90.2,13.7
9.3,97.2,91.1,13.6
9.4,91.7,92.1,13.5
9.5,87,93.1,13.3
9.6,79.6,94.1,13.2
9.7,79.2,95,
9.8,77,96,
9.9,78.4,97,
10,72.9,97.9,
10.1,74.2,98.9,
10.2,68.2,99.9,
10.3,66.1,100.8,
10.4,65.1,101.8,
10.5,62,102.8,
10.6,69.3,103.7,
10.7,69.9,104.7,
10.8,61.6,105.7,
10.9,61.1,106.6,
11,65.2,107.6,
11.1,63.2,108.6,
11.2,65.4,109.5,
11.3,65,110.5,
11.4,60.4,111.5,
11.5,66.6,112.4,
11.6,65.8,113.4,
11.7,64.7,114.4,
11.8,60.3,115.3,
11.9,59.3,116.3,
12,59.7,117.3,
12.1,55.3,118.2,
12.2,64.6,119.2,
12.3,59.4,120.1,
12.4,52.9,121.1,
12.5,63.8,122.1,
12.6,72.9,123,
12.7,93.6,124,
12.8,137.2,125,
12.9,132.1,125.9,
13,89.9,126.9,
13.1,59.6,127.8,
13.2,52.3,128.8,
13.3,54.6,129.7,
13.4,53.4,130.7,
13.5,49.8,131.7,
13.6,50.5,132.6,
13.7,48.4,133.6,
13.8,46.9,134.5,
13.9,49,135.5,
14,44.1,136.4,
14.1,47.8,137.4,
14.2,49.1,138.4,
14.3,92.7,139.3,
14.4,240.3,140.3,
14.5,306.4,141.2,
14.6,199.3,142.2,
14.7,75.3,143.1,
14.8,43.2,144.1,
14.9,38.9,145,
15,36.9,146,
