n&l / pm,T_7 / %
19.7,0
20.7,0
21.7,0
22.6,0
23.6,0
24.6,0
25.6,0
26.6,0
27.6,0
28.5,0
29.5,0
30.5,0
31.5,0
32.5,0
33.4,0
34.4,0
35.4,0
36.4,0
37.4,0
38.4,0
39.3,83.1
40.3,82.2
41.3,81.9
42.3,80.1
43.3,78.8
44.3,81.6
45.2,78.7
46.2,76.8
47.2,75.8
48.2,72.9
49.2,72
50.1,69.9
51.1,64.3
52.1,63.3
53.1,60.7
54.1,58.4
55,61.6
56,57
57,55
58,55.5
59,56.7
59.9,57.4
60.9,54
61.9,47.6
62.9,49.3
63.8,45.8
64.8,43.5
65.8,51.5
66.8,51.9
67.8,51.7
68.7,50
69.7,40.5
70.7,45.4
71.7,38.8
72.6,40.6
73.6,55.9
74.6,53.4
75.6,53.5
76.5,53.2
77.5,55.8
78.5,52.1
79.5,57.8
80.4,56.1
81.4,58.5
82.4,62.1
83.4,60.9
84.3,56.3
85.3,61.7
86.3,62.9
87.3,66.1
88.2,58.1
89.2,66
90.2,64.5
91.1,66.1
92.1,61.6
93.1,73.1
94.1,71.8
95,67.4
96,69.2
97,67
97.9,68.1
98.9,69.7
99.9,80.2
100.8,66
101.8,71.5
102.8,71.1
103.7,71.4
104.7,71.5
105.7,72.2
106.6,69.9
107.6,61.4
108.6,73.2
109.5,68.8
110.5,73.1
111.5,65.7
112.4,66
113.4,67.5
114.4,68.2
115.3,76.2
116.3,74
117.3,73.9
118.2,64.6
119.2,67.8
120.1,67.5
121.1,69.1
122.1,67.1
123,67.8
124,76.8
125,74.1
125.9,73.1
126.9,72.3
127.8,69.4
128.8,78.1
129.7,70.4
130.7,66.8
131.7,73.1
132.6,78.6
133.6,77
134.5,78.8
135.5,73.2
136.4,66.7
137.4,61.3
138.4,57.5
139.3,63.8
140.3,69.6
141.2,79.9
142.2,67.9
143.1,46.5
144.1,56.3
145,72.4
146,72.1
146.9,71.8
147.9,67.9
148.8,78.8
149.8,76.2
150.7,67.8
151.7,76.8
152.6,73
153.6,68.1
154.5,73
155.5,68.3
156.4,72
157.4,68.1
158.3,72.7
159.2,69
160.2,74.5
161.1,71.5
162.1,64.6
163,64.8
164,72.4
164.9,65.9
165.8,71
166.8,71.1
167.7,71.3
168.7,73.1
169.6,82.3
170.5,69.1
171.5,76.6
172.4,72.9
173.3,63.5
174.3,65.9
175.2,
176.2,
177.1,
178,
179,
179.9,
180.8,
181.8,
182.7,
183.6,
184.6,
185.5,
186.4,
187.3,
188.3,
189.2,
190.1,
191,
192,
192.9,
