Angle (°) - Kurve 0,Counts - Kurve 0
13,5
13.1,6
13.2,4
13.3,7
13.4,6
13.5,11
13.6,16
13.7,17
13.8,13
13.9,8
14,6
14.1,6
14.2,6
14.3,7
14.4,6
14.5,8
14.6,7
14.7,7
14.8,8
14.9,9
15,14
15.1,23
15.2,21
15.3,24
15.4,26
15.5,43
15.6,128
15.7,279
15.8,399
15.9,366
16,236
16.1,77
16.2,13
16.3,10
16.4,8
16.5,7
16.6,8
16.7,8
16.8,5
16.9,5
17,5
17.1,4
17.2,3
17.3,3
17.4,3
17.5,4
17.6,3
17.7,3
17.8,4
17.9,4
18,1
18.1,3
18.2,2
18.3,2
18.4,3
18.5,3
18.6,3
18.7,1
18.8,3
18.9,3
19,4
19.1,3
19.2,3
19.3,4
19.4,3
19.5,3
19.6,2
19.7,3
19.8,2
19.9,3
20,3
20.1,3
20.2,4
20.3,3
20.4,3
20.5,3
20.6,4
20.7,4
20.8,3
20.9,3
21,3
21.1,3
21.2,4
21.3,3
21.4,4
21.5,3
21.6,5
21.7,6
21.8,4
21.9,6
22,4
22.1,3
22.2,3
22.3,7
22.4,18
22.5,38
22.6,61
22.7,95
22.8,70
22.9,39
23,13
23.1,6
23.2,5
23.3,3
23.4,4
23.5,2
23.6,2
23.7,3
23.8,2
23.9,2
24,2
24.1,0
24.2,4
24.3,2
24.4,2
24.5,1
24.6,2
24.7,1
24.8,2
24.9,3
25,2
25.1,2
25.2,0
25.3,3
25.4,2
25.5,3
25.6,3
25.7,3
25.8,2
25.9,3
26,2
26.1,3
26.2,2
26.3,1
26.4,1
26.5,2
26.6,2
26.7,2
26.8,6
26.9,4
27,6
27.1,5
27.2,2
27.3,3
27.4,3
27.5,3
27.6,2
27.7,2
27.8,1
27.9,3
28,11
28.1,18
28.2,24
28.3,21
28.4,12
28.5,5
28.6,2
28.7,2
28.8,2
28.9,2
29,2
29.1,1
29.2,3
29.3,2
29.4,1
