angle,n&l / pm,R_1 / 1/s,E / keV
2,19.7,47.6,63
2.1,20.7,32.3,60
2.2,21.7,22.1,57.3
2.3,22.6,14,54.8
2.4,23.6,9,52.5
2.5,24.6,5.9,50.4
2.6,25.6,4.5,48.5
2.7,26.6,4.6,46.7
2.8,27.6,5.8,45
2.9,28.5,4.9,43.5
3,29.5,4.7,42
3.1,30.5,7,40.6
3.2,31.5,6.7,39.4
3.3,32.5,9.1,38.2
3.4,33.4,13.2,37.1
3.5,34.4,29.6,36
3.6,35.4,60.6,35
3.7,36.4,92.4,34.1
3.8,37.4,118.1,33.2
3.9,38.4,131.5,32.3
4,39.3,143.2,31.5
4.1,40.3,145.8,30.7
4.2,41.3,143,30
4.3,42.3,147.9,29.3
4.4,43.3,145.9,28.7
4.5,44.3,137.6,28
4.6,45.2,143.1,27.4
4.7,46.2,138.4,26.8
4.8,47.2,127.1,26.3
4.9,48.2,115.8,25.7
5,49.2,114,25.2
5.1,50.1,104.9,24.7
5.2,51.1,96.9,24.3
5.3,52.1,83.8,23.8
5.4,53.1,75.4,23.4
5.5,54.1,75.3,22.9
5.6,55,68,22.5
5.7,56,62.2,22.1
5.8,57,58.7,21.8
5.9,58,52,21.4
6,59,47.5,21
6.1,59.9,49.6,20.7
6.2,60.9,64.3,20.4
6.3,61.9,82.3,20
6.4,62.9,70.6,19.7
6.5,63.8,42.5,19.4
6.6,64.8,33.2,19.1
6.7,65.8,30.4,18.8
6.8,66.8,53.9,18.6
6.9,67.8,179.9,18.3
7,68.7,678.2,18
7.1,69.7,1035.6,17.8
7.2,70.7,864.3,17.5
7.3,71.7,300,17.3
7.4,72.6,147.5,17.1
7.5,73.6,132.5,16.8
7.6,74.6,130,16.6
7.7,75.6,125.9,16.4
7.8,76.5,118.6,16.2
7.9,77.5,118.4,16
8,78.5,116.6,15.8
8.1,79.5,109.3,15.6
8.2,80.4,104.1,15.4
8.3,81.4,101.1,15.2
8.4,82.4,94.9,15
8.5,83.4,87.7,14.9
8.6,84.3,82.9,14.7
8.7,85.3,78.5,14.5
8.8,86.3,75.8,14.4
8.9,87.3,72.3,14.2
9,88.2,69.2,14.1
9.1,89.2,61.6,13.9
9.2,90.2,59,13.7
9.3,91.1,53.9,13.6
9.4,92.1,50.6,13.5
9.5,93.1,46.5,13.3
9.6,94.1,46.1,13.2
9.7,95,37.2,
9.8,96,37.8,
9.9,97,32.5,
10,97.9,32.9,
10.1,98.9,30.1,
10.2,99.9,33.7,
10.3,100.8,28.8,
10.4,101.8,27.2,
10.5,102.8,26.3,
10.6,103.7,26.4,
10.7,104.7,22.8,
10.8,105.7,23.5,
10.9,106.6,22.2,
11,107.6,22.4,
11.1,108.6,25.8,
11.2,109.5,23.7,
11.3,110.5,24.5,
11.4,111.5,26.1,
11.5,112.4,20.9,
11.6,113.4,22.2,
11.7,114.4,20.8,
11.8,115.3,20.5,
11.9,116.3,18.9,
12,117.3,21.8,
12.1,118.2,17.9,
12.2,119.2,21.1,
12.3,120.1,18.9,
12.4,121.1,18,
12.5,122.1,20.7,
12.6,123,22,
12.7,124,24.1,
12.8,125,27.9,
12.9,125.9,24.3,
13,126.9,20.5,
13.1,127.8,17.2,
13.2,128.8,16.1,
13.3,129.7,16.2,
13.4,130.7,15.3,
13.5,131.7,14.8,
13.6,132.6,12.9,
13.7,133.6,13.3,
13.8,134.5,13.6,
13.9,135.5,16.2,
14,136.4,23.1,
14.1,137.4,33.4,
14.2,138.4,38.8,
14.3,139.3,120.7,
14.4,140.3,282.9,
14.5,141.2,301.3,
14.6,142.2,157.9,
14.7,143.1,47.2,
14.8,144.1,30.3,
14.9,145,29.7,
15,146,28.1,
