&b / ,R_0 / 1/s
4,21.9
4.1,21.2
4.2,21.4
4.3,22.4
4.4,26
4.5,23.1
4.6,23.9
4.7,23.4
4.8,25.4
4.9,25.1
5,24.3
5.1,27.6
5.2,26.3
5.3,25.4
5.4,28.5
5.5,27.4
5.6,27.7
5.7,27.1
5.8,28.3
5.9,30
6,27.8
6.1,24.4
6.2,25
6.3,26.9
6.4,24.1
6.5,25.3
6.6,23.7
6.7,23.5
6.8,25.2
6.9,25
7,24.3
7.1,20.2
7.2,22.1
7.3,20.7
7.4,23.2
7.5,21.9
7.6,20.2
7.7,18.2
7.8,20.1
7.9,20.8
8,21.3
8.1,19.2
8.2,17.9
8.3,20.3
8.4,18.4
8.5,16.8
8.6,22
8.7,18.9
8.8,18.1
8.9,20.1
9,17.6
9.1,17.1
9.2,17.4
9.3,17.7
9.4,16.5
9.5,18.5
9.6,16.7
9.7,19.4
9.8,21.6
9.9,14.7
10,16.6
10.1,17.9
10.2,16.6
10.3,19.1
10.4,16.9
10.5,16.5
10.6,17.4
10.7,17.7
10.8,16.5
10.9,17.7
11,17.7
11.1,15.6
11.2,17.7
11.3,20.1
11.4,18.4
11.5,18.8
11.6,19
11.7,17.2
11.8,16.2
11.9,17.8
12,16.2
12.1,18.8
12.2,16.9
12.3,15.6
12.4,18.1
12.5,16.4
12.6,16.2
12.7,16
12.8,15.4
12.9,16.2
13,17.5
13.1,15.1
13.2,19.8
13.3,18.4
13.4,17.8
13.5,17
13.6,14.7
13.7,13.8
13.8,17.3
13.9,15.6
14,16.2
14.1,15.6
14.2,13.5
14.3,15
14.4,13.1
14.5,14.7
14.6,15.1
14.7,16.6
14.8,13.6
14.9,13.9
15,13.9
15.1,13.6
15.2,14.8
15.3,14.6
15.4,15.7
15.5,13.2
15.6,11.9
15.7,14.4
15.8,10.4
15.9,11.4
16,11.7
16.1,11.1
16.2,13.2
16.3,13
16.4,12.1
16.5,12.3
16.6,10.9
16.7,13.5
16.8,11.7
16.9,10.4
17,11.9
17.1,11.7
17.2,11.8
17.3,12
17.4,10.7
17.5,11.6
17.6,11.2
17.7,12.6
17.8,10.3
17.9,11.4
18,10.7
18.1,10
18.2,11.9
18.3,12.6
18.4,10.7
18.5,10.4
18.6,10.9
18.7,10.2
18.8,11.8
18.9,11.4
19,11.1
19.1,12.3
19.2,11.1
19.3,13.4
19.4,11.6
19.5,11.5
19.6,9.8
19.7,9.8
19.8,10.3
19.9,10.2
20,11.4
20.1,11.4
20.2,9.9
20.3,11.7
20.4,9.4
20.5,8.3
20.6,10.9
20.7,12.2
20.8,10.3
20.9,11.2
21,10.6
21.1,9.1
21.2,9.3
21.3,9.8
21.4,9
21.5,9.2
21.6,9.3
21.7,9.2
21.8,10.5
21.9,10.2
22,10.7
22.1,9.2
22.2,11
22.3,10.9
22.4,7.8
22.5,9.1
22.6,10
22.7,9.7
22.8,9.8
22.9,7.6
23,8.3
23.1,8.9
23.2,7
23.3,5.9
23.4,8.3
23.5,6.8
23.6,9.6
23.7,8.3
23.8,8.3
23.9,7.7
24,7.5
24.1,6.8
24.2,9.4
24.3,8.9
24.4,9.7
24.5,9.2
24.6,8
24.7,6.5
24.8,8.4
24.9,8.2
25,7.4
25.1,7.6
25.2,7.9
25.3,9.2
25.4,6.5
25.5,7.4
25.6,8.4
25.7,7.5
25.8,8.3
25.9,7.9
26,6.9
26.1,7.8
26.2,7.1
26.3,7.8
26.4,7.2
26.5,6.9
26.6,7.2
26.7,7.3
26.8,6.7
26.9,6.9
27,5.7
27.1,6.4
27.2,7.6
27.3,7.3
27.4,8
27.5,6.7
27.6,6.7
27.7,5.4
27.8,7.2
27.9,6.4
28,5.6
